SectorGroup_E,DESCRIP_E,SectorGroup_F,DESCRIP_F
TBS,Treasury Board of Canada Secretariat,SCT,Secrétariat du Conseil du Trésor du Canada
Pol.,Chief Information Officer Branch,Pol.,Direction du dirigeant principal de l'information
Pol.,Expenditure Management Sector,Pol.,Secteur de la gestion des dépenses
OCHRO,Compensation and Labour Relations Sector,BDPRH,Secteur de la rémunération et des relations de travail
OCHRO,Executive Management and Leadership Development,BDPRH,Gestion des cadres supérieurs et développement du leadership 
OCHRO,"Governance, Planning and Policy Sector",BDPRH,"Secteur de la gouvernance, de la planification et des politiques"
OCHRO,Human Resources Management Transformation Sector,BDPRH,Secteur de la gestion de la transformation des ressources humaines
OCHRO,Pensions and Benefits Sector,BDPRH,Secteur des pensions et avantages sociaux
OCG,Acquired Services and Assets Sector,BCG,Secteur des services acquis et des actifs
OCG,Financial Management Sector,BCG,Secteur de la gestion financière
OCG,Financial Management Transformation Sector,BCG,Secteur de la transformation de la gestion financière
OCG,Internal Audit Sector,BCG,Secteur de la vérification interne
Pol.,Regulatory Affairs Sector,Politiques,Secteur des affaires réglementaires
Prog.,Economic Sector,Prog.,Secteur des programmes économiques
Prog.,Government Operations Sector,Prog.,Secteur des opérations gouvernementales
Prog.,"International Affairs, Security and Justice Sector",Prog.,"Secteur des affaires internationales, de la sécurité et de la justice"
Prog.,Social and Cultural Sector,Prog.,Secteur des programmes sociaux et culturels
Serv.,Corporate Services Sector,Serv.,Secteur des services ministériels
Serv.,Human Resources Division,Serv.,Division des ressources humaines
Serv.,Internal Audit and Evaluation Bureau,Serv.,Bureau de la vérification interne et de l'évaluation
Serv.,Legal Services,Serv.,Services juridiques
Serv.,Priorities and Planning Sector,Serv.,Secteur des priorités et de la planification
Serv.,Strategic Communications and Ministerial Affairs Sector,Serv.,Secteur des communications stratégiques et affaires ministérielles
TBS,Minister's and Deputy Ministers' Offices,SCT,Cabinets du ministre et des sous-ministres
